,General ,,,,,,,,,Pricing / PCE or ROLL ,,,,,,,,Dimension Deflated,,,Dimension Inflated / Outer,,,Shipping Details,,,,,,Technical,,Comments
Amended P/N,GAIA P/N,SG P/N,Short Description,Description,Supplementary P/N,Product Category,Manual / Auto,Film Thickness (um),STATUS,C/P USD,DDP GBP,GAIA S/P,SG P/P,SG BB,PCS per CTN/Roll*,PCS / CTN / Rolls per pallet,MOQ Qty (CTN/pallet),Width (mm),Length (mm),Height (perforation) mm,Width (mm),Length (mm),Height (perforation) mm,CTN/Roll per pallet,CTN Width,CTN Length,CTN Height,NETT Weight (Kg) / CTN/ROLL,GROSS Weight (Kg) / CTN/ROLL,Cyclinder Sequence,Sealing Sequence,
,10DEFA120,,,AIR|SHIELD Netbook SML,,AIR|SHIELD™,Manual,120,Active,0.2,,0.3873,,,,,,,,,,,,,,,,,,,,
,10DEFA150,IPNOTESML,,AIR|SHIELD NoteBook SML,,AIR|SHIELD™,Manual,,Active,0.239,,,,,,,,,,,,,,,,,,,,,,
,15DEFA120,IPNOTEMED,,AIR|SHIELD Notebook MED,CC360500700427,AIR|SHIELD™,Manual,120,Active,0.25,,0.66,,,250,,1,,,,,,,,,,,,,,,
,18DEFA120,IPNOTELGE,,"AIR|SHIELD NoteBook Large (18"")",,AIR|SHIELD™,Manual,120,Active,0.543,,0,,,250,,1,,,,,,,,,,,,,,,
,AM1000D28200U90,,,AIR|MAT 1000mm Roll Non-Perforated,,AIR|MAT™,Auto,90,Active,64.67,,,,,,,,,1000 (m),N/A,,1000 (m),N/A,,,,,,,,,
,AM302920U120,,,AIR|MAT 300x290mm 200m,,AIR|MAT™,Auto,120,Active,32.3,,62.35,,,,112,,,,,,,,112,27,27,33,8.4,8.9,,,
,AM502920U120,,,AIR|MAT 500x290mm 200m,,AIR|MAT™,Auto,120,Active,49.2,,95.16,,,,40,,500,200 (m),290,500,200 (m),290,40,27,27,53,13.3,14.1,,,
,AM702920U120,,,AIR|MAT 700x290mm 200m,,AIR|MAT™,Auto,120,Active,64.6,,146.67,,,,40,,700,200 (m),290,700,200 (m),290,40,27,27,73,19.1,20.1,,,
,AM902920U120,,,AIR|MAT 900x290mm 200m/roll | 20rolls/pallet | Compatible AIR|INFLATE150 ,,AIR|MAT™,Auto,120,Active,80.3,,192,,,,20,,900,200 (m),290,900,200 (m),290,20,27,27,93,25.2,26.2,,,
,AP100120325C20,,,AIR|PAKK 200x120mm 325m,,AIR|PAKK™,Auto,20,Active,9.4,,,,,1,,,200,325 (m),120,200,325 (m),120,,,,,,,,,
,AP2001001000C15,,,AIR|PAKK 200x100mm 1000m,,AIR|PAKK™,Auto,15,Active,20,,0,,,,120,,200,1000 (m),100,200,1000 (m),100,120,,,,,,,,
,AP200100500C15,,,AIR|PAKK 200x100mm 500m,,AIR|PAKK™,Auto,15,Active,10,,0,,,1,,,200,500 (m),100,200,500 (m),100,,18,18,45,6,6.4,,,
,AP2001201000C15,,,AIR|PAKK 200x120mm 1000m,,AIR|PAKK™,Auto,15,Active,20,,,,,,120,,200,1000 (m),120,200,1000 (m),120,120,,,,,,,,
,AP200120500C15,,,AIR|PAKK 200x120mm 500m,,AIR|PAKK™,Auto,15,Active,10,,0,,,1,120,,200,500 (m),120,200,500 (m),120,120,18,18,45,6,6.5,,,
,AP200601000C15,,,AIR|PAKK 200x60mm 1000m,,AIR|PAKK™,Auto,15,Active,22.22,,,,,,,,200,1000 (m),60,200,1000 (m),60,,,,,,,,,
,AP400320450Q_22,IPAP400330450,,AIR|PAKK 400x320mm 450m | Type: Quilt Roll | Grade: 22 um,,AIR|PAKK™,Auto,22,Active,,,,,,1,,,400,450 (m),320,400,450 (m),320,,,,,,,,,
